Joints
100
,,Tuto_joint:Head_Head_End,Tuto_joint:L_Collar_L_Humerus,,,Tuto_joint:L_Elbow_L_Wrist,Tuto_joint:L_Femur_L_Tibia,Tuto_joint:L_Foot_L_Toe,Tuto_joint:L_Humerus_L_Elbow,,Tuto_joint:L_Tibia_L_Foot,,,Tuto_joint:L_Wrist_L_Wrist_End,Tuto_joint:LowerBack_Head,,,Tuto_joint:LowerBack_L_Collar,,,Tuto_joint:LowerBack_R_Collar,,,Tuto_joint:R_Collar_R_Humerus,,,Tuto_joint:R_Elbow_R_Wrist,Tuto_joint:R_Femur_R_Tibia,Tuto_joint:R_Foot_R_Toe,Tuto_joint:R_Humerus_R_Elbow,,Tuto_joint:R_Tibia_R_Foot,,,Tuto_joint:R_Wrist_R_Wrist_End,Tuto_joint:Root_L_Femur,,,Tuto_joint:Root_LowerBack,,,Tuto_joint:Root_R_Femur,,,Tuto_joint:World_Root,,,,,,
Frame,Sub Frame,,RX,RY,RZ,R,R,,R1,R2,RX,RY,RZ,,RX,RY,RZ,RX,RY,RZ,RX,RY,RZ,RX,RY,RZ,R,R,,R1,R2,RX,RY,RZ,,RX,RY,RZ,RX,RY,RZ,RX,RY,RZ,RX,RY,RZ,TX,TY,TZ
,,,deg,deg,deg,deg,deg,,deg,deg,deg,deg,deg,,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,,deg,deg,deg,deg,deg,,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,mm,mm,mm
1,0,,105.903,65.9224,-114.178,16.3212,0.431712,,-71.1342,-87.1113,8.6425,-9.81932,-7.67873,,-0,0,-0,1.09636,-32.6603,11.2067,2.08606,24.5384,-11.2462,60.8775,-68.0811,68.9599,-14.968,10.3973,,-70.7111,64.3672,1.15833,20.9237,-5.7729,,-13.5456,19.3692,18.9196,-9.3175,6.04622,9.69776,-1.86662,-22.5323,-4.49082,175.606,3.1215,173.375,-150.799,954.695,753.461
2,0,,106.176,65.9404,-114.331,16.6813,0.459468,,-71.1356,-86.8017,8.61015,-9.71294,-7.64998,,-0,0,-0,1.16469,-32.6852,11.2968,2.14036,24.7239,-11.2986,60.8091,-67.9808,69.0045,-14.6079,10.4051,,-71.0331,62.5099,1.15841,20.9358,-5.80721,,-13.5049,19.3075,18.9416,-9.34469,6.11657,9.66344,-1.84591,-22.4921,-4.47298,175.617,3.16623,173.362,-150.663,954.708,753.154
3,0,,106.689,65.96,-114.793,16.5573,0.484319,,-71.1444,-86.3691,8.60363,-9.59922,-7.69496,,-0,0,-0,1.23773,-32.7565,11.3473,2.16226,24.7576,-11.3324,61.0698,-68.0714,69.2111,-14.5103,10.4149,,-71.007,61.2989,1.18813,20.9187,-5.84163,,-13.4624,19.2294,18.9529,-9.37472,6.14445,9.6453,-1.82847,-22.4587,-4.45611,175.624,3.19853,173.357,-150.483,954.759,752.867
4,0,,106.925,66.078,-114.976,16.8232,0.501251,,-71.2399,-86.2007,8.59423,-9.5209,-7.61311,,-0,0,-0,1.22569,-32.8066,11.3028,2.201,24.7364,-11.354,61.8794,-68.4001,69.7858,-14.5858,10.4204,,-70.6639,60.6336,1.19014,20.942,-5.87559,,-13.4226,19.1854,18.9651,-9.39011,6.12326,9.65279,-1.80808,-22.421,-4.44833,175.635,3.2308,173.359,-150.282,954.785,752.591
5,0,,107.4,66.0886,-115.397,16.8925,0.549812,,-71.2903,-86.2123,8.59213,-9.54465,-7.59851,,-0,0,-0,1.30958,-32.8624,11.3782,2.25888,24.8594,-11.3899,61.4898,-68.3293,69.4786,-14.2113,10.442,,-70.8194,59.2381,1.20531,20.9663,-5.90078,,-13.4404,19.2376,19.007,-9.41677,6.15497,9.61807,-1.79944,-22.413,-4.43475,175.644,3.27426,173.353,-150.086,954.851,752.32
6,0,,107.972,66.0919,-115.922,16.6561,0.575109,,-71.3119,-86.1498,8.59609,-9.52785,-7.62011,,-0,0,-0,1.37661,-32.9396,11.4358,2.31731,24.9451,-11.4514,61.8468,-68.4183,69.7981,-14.0541,10.4514,,-70.7859,58.7211,1.22356,20.9917,-5.91161,,-13.4315,19.2665,19.0296,-9.43356,6.1819,9.59524,-1.78794,-22.3648,-4.431,175.653,3.31759,173.355,-149.915,954.909,752.064
7,0,,108.38,66.1365,-116.271,16.7219,0.583663,,-71.3549,-86.3396,8.59407,-9.44695,-7.59455,,-0,0,-0,1.41992,-32.9852,11.4832,2.4021,25.0448,-11.5019,62.2346,-68.5456,70.1301,-13.8687,10.4757,,-70.7953,58.2247,1.22755,21.0117,-5.92393,,-13.3884,19.216,19.0413,-9.44447,6.18246,9.57852,-1.78108,-22.3674,-4.42525,175.665,3.35154,173.353,-149.747,954.95,751.84
8,0,,108.941,66.1621,-116.773,16.6533,0.578934,,-71.3895,-86.5747,8.6033,-9.33646,-7.64374,,-0,0,-0,1.49839,-33.0627,11.5494,2.46153,25.1278,-11.539,62.5406,-68.6674,70.3768,-13.7853,10.4952,,-70.8151,58.0294,1.22378,21.0761,-5.95929,,-13.3289,19.1359,19.0503,-9.46396,6.19039,9.56102,-1.76659,-22.4019,-4.41853,175.676,3.3752,173.346,-149.537,954.986,751.577
9,0,,109.18,66.2028,-116.993,16.3586,0.562205,,-71.4672,-86.7051,8.59227,-9.13769,-7.61967,,-0,0,-0,1.59236,-33.1366,11.6283,2.51604,25.2143,-11.591,62.9696,-68.8199,70.7314,-13.6319,10.5183,,-70.7934,58.0177,1.23343,21.1266,-5.97179,,-13.2321,18.9719,19.0447,-9.47751,6.21675,9.54719,-1.75839,-22.4266,-4.41301,175.688,3.40301,173.342,-149.332,955.017,751.358
10,0,,109.499,66.2933,-117.247,16.3553,0.549782,,-71.4912,-87.0737,8.65578,-8.90065,-7.66581,,-0,0,-0,1.72363,-33.2016,11.7649,2.53496,25.3226,-11.5514,63.4058,-68.9749,71.0982,-13.3983,10.4686,,-70.8162,57.8328,1.25858,21.0324,-6.0154,,-13.2138,18.6292,19.0793,-9.55059,6.1179,9.4848,-1.71747,-22.4214,-4.30007,175.634,3.3108,173.299,-148.697,955.141,751.279
11,0,,109.896,66.4173,-117.585,16.3306,0.527528,,-71.5781,-87.0616,8.67415,-8.73507,-7.65489,,-0,0,-0,1.69337,-33.2527,11.7404,2.74767,25.3713,-11.6618,64.1154,-69.1716,71.7128,-13.5317,10.4777,,-70.7568,58.3655,1.29583,21.0521,-6.01125,,-13.1221,18.5057,19.0963,-9.56817,6.04877,9.51875,-1.68789,-22.3834,-4.26817,175.656,3.35378,173.284,-148.423,955.212,751.1
12,0,,110.043,66.5271,-117.683,16.3373,0.448196,,-71.6416,-87.0098,8.66677,-8.52987,-7.68946,,-0,0,-0,1.7321,-33.3422,11.7551,2.88522,25.5509,-11.8067,64.2125,-69.2232,71.8306,-13.2706,10.5635,,-70.9516,57.9934,1.30726,21.2206,-6.03944,,-12.92,18.5121,19.0541,-9.53564,6.20441,9.54342,-1.71364,-22.3775,-4.3498,175.73,3.51937,173.31,-148.561,955.229,750.817
13,0,,110.237,66.598,-117.837,16.1229,0.417284,,-71.7038,-86.8629,8.67889,-8.36146,-7.74625,,-0,0,-0,1.87241,-33.4209,11.8668,2.91434,25.6706,-11.8433,64.4721,-69.3853,72.035,-13.1726,10.5914,,-70.9706,57.8489,1.32687,21.2805,-6.06751,,-12.8592,18.3999,19.062,-9.57187,6.2807,9.53262,-1.73323,-22.4083,-4.33963,175.723,3.55722,173.299,-148.351,955.278,750.685
14,0,,110.39,66.712,-117.947,16.0642,0.381236,,-71.7896,-86.8073,8.70766,-8.20418,-7.71697,,-0,0,-0,1.95994,-33.5366,11.9692,3.04825,25.825,-11.9134,64.334,-69.4316,71.9242,-12.9621,10.6191,,-71.2409,57.4082,1.35741,21.3783,-6.12066,,-12.7797,18.2955,19.0645,-9.58325,6.29503,9.51793,-1.73981,-22.4515,-4.33469,175.734,3.59499,173.29,-148.153,955.364,750.576
15,0,,110.537,66.817,-118.082,15.757,0.355899,,-71.9406,-86.6427,8.73211,-8.09243,-7.68225,,-0,0,-0,2.04471,-33.6597,12.0567,3.14175,25.8844,-11.9867,64.8093,-69.6274,72.2822,-12.9201,10.6489,,-71.1281,57.7685,1.38346,21.4469,-6.1521,,-12.7266,18.2419,19.0799,-9.59315,6.306,9.52102,-1.75029,-22.484,-4.32675,175.74,3.63975,173.281,-147.923,955.459,750.465
16,0,,110.789,66.9766,-118.253,15.8218,0.320734,,-71.9683,-86.7634,8.75856,-7.95234,-7.65124,,-0,0,-0,2.07556,-33.7358,12.1272,3.29195,25.9988,-12.0543,64.9033,-69.7732,72.3172,-12.8149,10.6873,,-71.2229,57.702,1.40669,21.5249,-6.21029,,-12.6587,18.1682,19.0719,-9.5834,6.30194,9.50964,-1.78261,-22.499,-4.34042,175.75,3.69117,173.286,-147.771,955.544,750.487
17,0,,110.95,67.0739,-118.379,15.6523,0.299208,,-72.0682,-86.6576,8.80257,-7.90295,-7.6768,,-0,0,-0,2.23023,-33.8315,12.271,3.38866,26.1467,-12.1506,65.0658,-69.8517,72.4796,-12.709,10.6934,,-71.3773,57.3544,1.43379,21.5654,-6.24312,,-12.6376,18.1809,19.0852,-9.60787,6.34773,9.48733,-1.78265,-22.5012,-4.32958,175.752,3.72565,173.283,-147.55,955.642,750.378
18,0,,111.162,67.2459,-118.531,15.41,0.264196,,-72.1647,-86.3365,8.82071,-7.84065,-7.58777,,-0,0,-0,2.31157,-33.9386,12.3437,3.48719,26.2408,-12.2072,65.2865,-70.085,72.5768,-12.5673,10.7112,,-71.3845,57.38,1.46476,21.6437,-6.28429,,-12.5908,18.1576,19.1021,-9.62106,6.34875,9.48274,-1.78062,-22.5576,-4.31648,175.759,3.75224,173.276,-147.263,955.736,750.249
19,0,,111.304,67.3844,-118.626,15.2325,0.237604,,-72.2553,-86.3116,8.85411,-7.81909,-7.4756,,-0,0,-0,2.46232,-34.0188,12.4925,3.60143,26.3984,-12.2993,65.1639,-70.1385,72.4563,-12.3433,10.7341,,-71.5904,57.0548,1.4985,21.7224,-6.32643,,-12.571,18.1806,19.1302,-9.6382,6.38626,9.46261,-1.78523,-22.6038,-4.30429,175.766,3.78629,173.265,-147.012,955.826,750.155
20,0,,111.38,67.5839,-118.66,15.0768,0.201477,,-72.4269,-86.1874,8.88237,-7.78652,-7.36014,,-0,0,-0,2.58931,-34.1384,12.5841,3.69374,26.4985,-12.3766,65.3963,-70.3749,72.5698,-12.2409,10.7392,,-71.5919,56.9025,1.50424,21.739,-6.35996,,-12.5412,18.2154,19.143,-9.65253,6.42379,9.4577,-1.7807,-22.5805,-4.2913,175.773,3.82607,173.265,-146.76,955.925,750.079
21,0,,110.917,67.7556,-118.249,14.7962,0.158369,,-72.7385,-85.9588,8.93992,-7.73771,-7.44271,,-0,0,-0,2.73388,-34.2671,12.7167,3.81241,26.6028,-12.4982,65.2919,-70.4774,72.4044,-12.25,10.7525,,-71.6875,56.5296,1.53831,21.7792,-6.40276,,-12.514,18.2366,19.1506,-9.65921,6.4377,9.45495,-1.78882,-22.6161,-4.28391,175.774,3.8546,173.268,-146.478,956.039,750.01
22,0,,111.256,67.9695,-118.46,14.8115,0.131061,,-72.7097,-85.6816,8.96616,-7.73811,-7.31477,,-0,0,-0,2.88881,-34.3153,12.829,3.87748,26.7314,-12.5456,65.2982,-70.6831,72.3439,-12.0064,10.7563,,-71.7825,56.2645,1.55342,21.7981,-6.42358,,-12.493,18.2601,19.1786,-9.67103,6.48816,9.43671,-1.76582,-22.6256,-4.25659,175.788,3.87021,173.254,-146.226,956.139,749.939
23,0,,111.536,68.1498,-118.652,14.6669,0.0861482,,-72.8121,-85.4595,8.99881,-7.71403,-7.21468,,-0,0,-0,3.04587,-34.4265,12.9715,4.01594,26.9262,-12.6399,64.8175,-70.7401,71.876,-11.7977,10.7514,,-72.0492,55.8279,1.59987,21.8104,-6.42846,,-12.4673,18.2817,19.2059,-9.68715,6.51348,9.42034,-1.74702,-22.6058,-4.22129,175.793,3.89411,173.237,-145.97,956.243,749.869
24,0,,111.709,68.3156,-118.788,14.4575,0.036146,,-72.9956,-85.2623,9.04576,-7.67443,-7.13218,,-0,0,-0,3.20427,-34.5677,13.0932,4.12394,27.0355,-12.7464,64.9909,-70.9805,71.9183,-11.6645,10.7409,,-72.0261,55.7968,1.62095,21.8258,-6.46751,,-12.4321,18.2886,19.2092,-9.69279,6.52021,9.42182,-1.73019,-22.5855,-4.20018,175.799,3.90772,173.236,-145.732,956.345,749.835
25,0,,111.98,68.478,-118.99,14.4624,-0.0322899,,-73.0529,-85.1331,9.09918,-7.59958,-7.01111,,-0,0,-0,3.39226,-34.6721,13.2656,4.26395,27.2263,-12.8496,64.5754,-71.0537,71.5062,-11.4269,10.7293,,-72.2534,55.4399,1.64806,21.8007,-6.50566,,-12.3748,18.2369,19.2204,-9.69332,6.52408,9.4107,-1.69593,-22.5767,-4.1585,175.81,3.90314,173.216,-145.483,956.461,749.819
